"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"1999-10-16T13:56:42.770Z",34.6903333,-116.3036667,-0.904,3.46,"ml",34,60,NA,0.22,"ci","ci9108970","2016-04-02T17:23:12.169Z","14km WSW of Ludlow, CA","earthquake",0.42,1.45,0.098,178,"reviewed","ci","ci"
"1999-10-16T14:02:51.600Z",34.5974998,-116.2873306,5.656,2.76,"ml",0,177,NA,0.19,"ci","ci9578896","2016-02-17T02:00:32.992Z","18km SW of Ludlow, California","earthquake",0.95,14.54,0.1,100,"automatic","ci","ci"
"1999-10-16T14:06:34.450Z",34.5718333,-116.244,1.589,3.46,"ml",19,76,0.2688,0.22,"ci","ci9108962","2016-04-01T18:52:14.451Z","18km SSW of Ludlow, CA","earthquake",0.59,2.1,0.114,183,"reviewed","ci","ci"
"1999-10-16T14:07:05.400Z",34.3713333,-116.1371667,-0.322,3.4,"ml",16,214,NA,0.21,"ci","ci3322136","2016-04-02T01:34:50.738Z","27km NNW of Twentynine Palms, CA","earthquake",1,1.26,0.12,133,"reviewed","ci","ci"
"1999-10-16T14:17:10.900Z",34.4878333,-116.2566667,-1.172,3.06,"ml",24,112,NA,0.15,"ci","ci9108969","2016-04-02T11:07:43.615Z","27km SSW of Ludlow, CA","earthquake",0.4,0.88,0.104,187,"reviewed","ci","ci"
"1999-10-16T14:20:44.880Z",34.7195,-116.3006667,2.706,3.35,"ml",18,77,0.2772,0.21,"ci","ci9108988","2016-04-02T01:20:38.563Z","13km W of Ludlow, CA","earthquake",0.45,1.81,NA,139,"reviewed","ci","ci"
"1999-10-16T14:24:26.540Z",34.6500015,-116.2949982,5.844,3.05,"ml",0,106,NA,0.22,"ci","ci9578928","2016-04-02T10:33:11.120Z","15km WSW of Ludlow, CA","earthquake",0.41,17.28,0.1,100,"automatic","ci","ci"
"1999-10-16T14:31:52.760Z",34.4761667,-116.2705,4.828,3.06,"ml",17,137,NA,0.36,"ci","ci9108995","2016-04-01T18:52:16.815Z","29km SSW of Ludlow, CA","earthquake",0.98,26.1,NA,122,"reviewed","ci","ci"
"1999-10-16T14:37:04.420Z",34.6921654,-116.3616638,4.336,2.68,"ml",0,193,NA,0.22,"ci","ci9578948","2016-02-15T23:33:36.459Z","19km W of Ludlow, California","earthquake",1.26,22.15,0.1,100,"automatic","ci","ci"
"1999-10-16T14:40:39.460Z",34.6074982,-116.2343369,5.848,2.71,"ml",0,211,NA,0.52,"ci","ci9578952","2016-02-16T21:04:31.745Z","14km SSW of Ludlow, California","earthquake",2.92,32.91,0.1,100,"automatic","ci","ci"
"1999-10-16T14:43:11.070Z",34.461,-116.215,0.564,3.15,"mc",0,70.6,NA,0.121,"ci","ci9109030","2016-04-02T10:34:07.218Z","29km S of Ludlow, CA","earthquake",NA,0.81,NA,90,"reviewed","ci","ci"
"1999-10-16T14:43:44.230Z",34.452,-116.233,-0.802,3.65,"ml",0,65.6,NA,0.167,"ci","ci9112176","2016-04-02T04:00:13.522Z","31km SSW of Ludlow, CA","earthquake",NA,1.093,NA,147,"reviewed","ci","ci"
"1999-10-16T14:44:24.300Z",34.585,-116.299,-1.374,3.49,"ml",0,177.8,NA,0.237,"ci","ci9109000","2016-04-02T00:46:47.726Z","20km SW of Ludlow, CA","earthquake",NA,1.533,NA,38,"reviewed","ci","ci"
