time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-04-23T09:21:53.500Z,34.024,-116.331,-0.259,2.58,mc,0,87.6,NA,0.168,ci,ci2047776,2016-02-10T03:30:27.330Z,"12km S of Joshua Tree, California",earthquake,NA,0.452,NA,44,reviewed,ci,ci
1992-04-23T09:27:16.160Z,34.029,-116.314,9.169,2.64,mc,0,87.7,NA,0.174,ci,ci3120070,2016-02-09T23:52:43.125Z,"12km S of Joshua Tree, California",earthquake,NA,2.981,NA,56,reviewed,ci,ci
1992-04-23T09:27:23.350Z,34.025,-116.327,2.351,2.88,mc,0,61.9,NA,0.182,ci,ci3120071,2016-02-10T07:03:02.986Z,"12km S of Joshua Tree, California",earthquake,NA,0.509,NA,56,reviewed,ci,ci
1992-04-23T09:29:25.550Z,33.973,-116.328,2.351,2.67,mc,0,77.2,0.05744,0.183,ci,ci3122447,2016-02-09T20:04:56.444Z,"16km E of Desert Hot Springs, California",earthquake,NA,1.005,NA,25,reviewed,ci,ci
1992-04-23T09:29:43.210Z,34.044,-116.337,7.549,2.77,mc,0,87.9,0.1129,0.164,ci,ci3120089,2016-02-09T23:52:44.447Z,"10km SSW of Joshua Tree, California",earthquake,NA,5.16,NA,62,reviewed,ci,ci
1992-04-23T09:29:50.010Z,34.021,-116.333,-0.781,2.91,mc,0,61.2,NA,0.156,ci,ci3120159,2016-02-10T17:37:16.943Z,"13km S of Joshua Tree, California",earthquake,NA,0.961,NA,50,reviewed,ci,ci
1992-04-23T09:30:51.360Z,34.024,-116.335,-0.799,2.52,mc,0,88.1,0.095,0.156,ci,ci3120092,2016-02-10T07:03:04.292Z,"12km S of Joshua Tree, California",earthquake,NA,9.121,NA,5,reviewed,ci,ci
1992-04-23T09:36:53.970Z,33.951,-116.307,-0.511,2.64,mc,0,72.8,NA,0.181,ci,ci2047782,2016-02-10T21:15:56.251Z,"16km NNE of Thousand Palms, California",earthquake,NA,0.372,NA,49,reviewed,ci,ci
1992-04-23T09:40:53.090Z,34.004,-116.324,0.148,3.27,mc,0,145.5,NA,0.207,ci,ci3097747,2016-02-10T17:37:19.558Z,"15km S of Joshua Tree, California",earthquake,NA,0.346,NA,63,reviewed,ci,ci
1992-04-23T09:43:54.130Z,34.015,-116.314,4.986,2.56,mc,0,65,NA,0.228,ci,ci3119359,2016-02-10T17:37:21.743Z,"13km S of Joshua Tree, California",earthquake,NA,NA,NA,63,reviewed,ci,ci
